method_id,fold,k,best_epoch,best_validation_patient_mean_dice,n_history_epochs,final_validation_mean_full_cycle_dice,minimum_validation_total,final_validation_total
source_mean,4,7,4,0.7450380941862956,17,0.7319503699995699,0.1578787557780742,0.1578787557780742
target_only,0,10,10,0.7538279416558893,23,0.7459072799531614,0.0487445710226893,0.0593155840411782
target_only,0,2,10,0.7541164932935442,23,0.7455499434808066,0.04582683686167,0.0613804709166288
target_only,0,3,10,0.7535207574611608,23,0.746357681996042,0.0461291084066033,0.0594359640032053
target_only,0,5,10,0.7541181423776354,23,0.7467186908622051,0.0468102134764194,0.0561521138995885
target_only,0,7,10,0.753923223368139,23,0.7458383721338026,0.0474415393546223,0.0606325346976518
target_only,1,10,24,0.7680380388610827,37,0.7660432770760379,0.0287282232195138,0.0287282232195138
target_only,1,2,21,0.7680632620856749,34,0.7628211957503548,0.0284372124820947,0.0345195531845092
target_only,1,3,32,0.7674560606446044,45,0.7641421688521721,0.0288535073399543,0.0324652280658483
target_only,1,5,24,0.7682561947117075,37,0.7663657543649378,0.0287785109132528,0.0288334477692842
target_only,1,7,24,0.7677768955003714,37,0.7663498340040578,0.0285468004643917,0.0285468004643917
target_only,2,10,9,0.7579168257275579,22,0.755992715476435,0.0470157384872436,0.0470157384872436
target_only,2,2,33,0.758787360318005,46,0.7563133461464002,0.0383845247328281,0.0421859450638294
target_only,2,3,11,0.7578090799100028,24,0.7567241277189174,0.0439992724917829,0.0448119569569826
target_only,2,5,11,0.7585312606707105,24,0.7572615890305137,0.0426081514451652,0.0433910388499498
target_only,2,7,9,0.7583538973973584,22,0.7559556437406527,0.0479840591549873,0.0479840591549873
target_only,3,10,5,0.728593635440812,18,0.7192928255504061,0.1534306578338146,0.1534306578338146
target_only,3,2,5,0.7277375448443396,18,0.7195718029457152,0.1506291970610618,0.1506291970610618
target_only,3,3,5,0.7277581130414629,18,0.7194121366914388,0.1523633189499378,0.1523633189499378
target_only,3,5,5,0.7280040669227583,18,0.7193313167444773,0.1556416414678096,0.1556416414678096
target_only,3,7,5,0.728142872535211,18,0.7192797300658254,0.1539256997406482,0.1539256997406482
target_only,4,10,4,0.742504520055767,17,0.7325191692602002,0.1527036465704441,0.1527036465704441
target_only,4,2,4,0.7435268451763017,17,0.7314829782707786,0.1509926922619343,0.1509926922619343
target_only,4,3,4,0.7432767741055522,17,0.7318907784340823,0.1550683498382568,0.1550683498382568
target_only,4,5,4,0.7427884847873173,17,0.7308087562009378,0.1581627607345581,0.1581627607345581
target_only,4,7,4,0.7426862343115638,17,0.7308398518783044,0.1577704459428787,0.1577704459428787
